0.0000000,-0.0906968,-5.9761413,2.5071972,0.2209800,0.0000000,0.0000000
0.1982458,-0.2044666,-6.1378959,2.5495865,0.2069728,0.6296757,1.0000000
0.3964915,-0.3117016,-6.3044549,2.5891881,0.1968062,0.8886406,0.9916748
0.5947373,-0.4125309,-6.4754108,2.6282161,0.1963680,1.0859846,0.9828214
0.7929831,-0.5062889,-6.6495604,2.6673850,0.2008014,1.2511170,0.9733656
0.9912288,-0.5935004,-6.8282550,2.7079302,0.2074616,1.3954058,0.9631068
1.1894746,-0.6728878,-7.0095223,2.7500190,0.2181520,1.5246495,0.9518455
1.3877204,-0.7445767,-7.1946159,2.7945648,0.2315135,1.6422118,0.9389945
1.5859661,-0.8076404,-7.3826965,2.8421433,0.2485982,1.7502075,0.9240219
1.7842119,-0.8613529,-7.5736849,2.8933949,0.2685977,1.8499664,0.9058185
1.9824576,-0.9047706,-7.7671075,2.9489671,0.2927183,1.9423141,0.8832678
2.1807034,-0.9369268,-7.9630867,3.0099329,0.3222131,2.0000000,0.5735711
2.3789492,-0.9564440,-8.1604067,3.0771508,0.3541009,2.0000000,0.0000000
2.5771949,-0.9620642,-8.3585391,-3.1328202,0.3858004,2.0000000,0.0000000
2.7754407,-0.9524110,-8.5570630,-3.0513459,0.4401612,2.0000000,0.0000000
2.9736865,-0.9256712,-8.7524670,-2.9573958,0.5127649,2.0000000,0.0000000
3.1719322,-0.8789845,-8.9461607,-2.8513986,0.5533220,2.0000000,0.0000000
3.3701780,-0.8116320,-9.1325672,-2.7367558,0.6009203,2.0000000,0.0000000
3.5684238,-0.7230872,-9.3087034,-2.6129137,0.6585874,2.0000000,0.0000000
3.7666695,-0.6112298,-9.4738252,-2.4786162,0.6870104,2.0000000,0.0000000
3.9649153,-0.4786808,-9.6212315,-2.3389752,0.7112950,2.0000000,0.0000000
4.1631611,-0.3279052,-9.7476303,-2.1972636,0.7288971,2.0000000,0.0000000
4.3614068,-0.1590020,-9.8523969,-2.0561494,0.6860613,2.0000000,0.0000000
4.5596526,0.0219489,-9.9329643,-1.9248639,0.6325284,2.0000000,0.0000000
4.7578984,0.2106773,-9.9901529,-1.8064927,0.5902554,2.0000000,0.0000000
4.9561441,0.4050543,-10.0251191,-1.6916879,0.5754379,2.0000000,0.0000000
5.1543899,0.6028987,-10.0378049,-1.5783656,0.5638341,2.0000000,0.0000000
5.3526357,0.8007751,-10.0283621,-1.4685040,0.5442774,2.0000000,0.0000000
5.5508814,0.9959043,-9.9978466,-1.3638276,0.5150942,2.0000000,0.0000000
5.7491272,1.1874733,-9.9474909,-1.2648546,0.4803316,2.0000000,0.0000000
5.9473729,1.3740007,-9.8788697,-1.1728189,0.4452121,2.0000000,0.0000000
6.1456187,1.5533815,-9.7942094,-1.0879275,0.4124767,2.0000000,0.0000000
6.3438645,1.7248804,-9.6955452,-1.0115339,0.3559360,2.0000000,0.0000000
6.5421102,1.8895342,-9.5846114,-0.9456363,0.3163824,2.0000000,0.0000000
6.7403560,2.0469021,-9.4634792,-0.8844429,0.3007663,2.0000000,0.0000000
6.9386018,2.1964117,-9.3335757,-0.8272623,0.2770052,2.0000000,0.0000000
7.1368475,2.3388071,-9.1954013,-0.7742345,0.2583569,2.0000000,0.0000000
7.3350933,2.4738171,-9.0502277,-0.7245355,0.2435200,2.0000000,0.0000000
7.5333391,2.6017528,-8.8985608,-0.6772412,0.2337365,2.0000000,0.0000000
7.7315848,2.7223967,-8.7412522,-0.6312621,0.2328237,2.0000000,0.0000000
7.9298306,2.8355122,-8.5787624,-0.5849472,0.2338038,2.0000000,0.0000000
