0.0000000;-0.1810948;-5.9065997;2.4909102;0.2200894;0.0000000;0.0000000
0.1979185;-0.2973050;-6.0662163;2.5332799;0.2086927;0.6291558;1.0000000
0.3958370;-0.4070987;-6.2308844;2.5734808;0.2011044;0.8879087;0.9916829
0.5937555;-0.5102080;-6.3997741;2.6135713;0.2039427;1.0850841;0.9827927
0.7916740;-0.6063282;-6.5725385;2.6544324;0.2111390;1.2500513;0.9731804
0.9895925;-0.6954861;-6.7498698;2.6973636;0.2215003;1.3941522;0.9625980
1.1875110;-0.7763652;-6.9300401;2.7423777;0.2347602;1.5231452;0.9506721
1.3854295;-0.8490870;-7.1145484;2.7904335;0.2504054;1.6403704;0.9368590
1.5833480;-0.9124016;-7.3019846;2.8418892;0.2702690;1.7479072;0.9204913
1.7812665;-0.9656747;-7.4928367;2.8975521;0.2901566;1.8470181;0.9001086
1.9791850;-1.0078433;-7.6862043;2.9568540;0.3097834;1.9385728;0.8755851
2.1771035;-1.0380851;-7.8821645;3.0212469;0.3437010;2.0231288;0.8462710
2.3750220;-1.0548419;-8.0789033;3.0935059;0.3893448;2.1000422;0.8011563
2.5729405;-1.0565133;-8.2775522;-3.1094376;0.4179481;2.1678923;0.7315632
2.7708590;-1.0418106;-8.4744796;-3.0235746;0.4513456;2.2274744;0.6615978
2.9687775;-1.0094572;-8.6701036;-2.9305913;0.4881283;2.2772030;0.5659189
3.1666960;-0.9583787;-8.8615399;-2.8299945;0.5224934;2.3145081;0.4327385
3.3646145;-0.8882690;-9.0454982;-2.7237481;0.5589819;2.3140418;-0.0054523
3.5625330;-0.7974053;-9.2227918;-2.6124832;0.5552987;2.3047163;-0.1088130
3.7604515;-0.6883978;-9.3876859;-2.5022390;0.5614914;2.2821806;-0.2611398
3.9583700;-0.5622627;-9.5389196;-2.3900142;0.5805706;2.2731763;-0.1036229
4.1562885;-0.4179485;-9.6764227;-2.2742941;0.5765413;2.2641362;-0.1036229
4.3542070;-0.2602713;-9.7954794;-2.1614334;0.5544542;2.2701372;0.0687405
4.5521255;-0.0915974;-9.8961920;-2.0589962;0.4908102;2.2876203;0.2013049
4.7500440;0.0868806;-9.9805379;-1.9678473;0.4212721;2.3229706;0.4117494
4.9479625;0.2719474;-10.0491545;-1.8831211;0.4372458;2.3688936;0.5443265
5.1458810;0.4619035;-10.1014296;-1.7940533;0.4772201;2.3907698;0.2630464
5.3437995;0.6566246;-10.1357882;-1.6955648;0.5169171;2.3574649;-0.3995071
5.5417180;0.8547665;-10.1501177;-1.5893414;0.5440823;2.3481636;-0.1105723
5.7396365;1.0521079;-10.1433392;-1.4843306;0.5212023;2.3388253;-0.1105723
5.9375550;1.2476391;-10.1163680;-1.3842722;0.4888168;2.3558158;0.2015082
