0.0000000;-0.0634712;-5.9970855;2.5078726;0.2072165;0.0000000;0.0000000
0.1978611;-0.1771083;-6.1584133;2.5475535;0.1941091;1.0895718;3.0000000
0.3957222;-0.2846616;-6.3242519;2.5845997;0.1847796;1.5000000;2.6858068
0.5935833;-0.3863347;-6.4943803;2.6212471;0.1849136;1.5000000;0.0000000
0.7914444;-0.4812622;-6.6673350;2.6582387;0.1912284;1.5000000;0.0000000
0.9893055;-0.5701003;-6.8448025;2.6969791;0.1996970;1.5000000;0.0000000
1.1871666;-0.6514626;-7.0248173;2.7376181;0.2119375;1.5000000;0.0000000
1.3850277;-0.7253974;-7.2085753;2.7810193;0.2274499;1.5000000;0.0000000
1.5828888;-0.7909682;-7.3954754;2.8279824;0.2471650;1.5000000;0.0000000
1.7807499;-0.8472786;-7.5852594;2.8790684;0.2694720;1.5000000;0.0000000
1.9786110;-0.8933698;-7.7777567;2.9349646;0.2960237;1.5000000;0.0000000
2.1764721;-0.9281160;-7.9728280;2.9967579;0.3287408;1.5000000;0.0000000
2.3743332;-0.9500588;-8.1695819;3.0654508;0.3630873;1.5000000;0.0000000
2.5721943;-0.9578032;-8.3671539;3.1405076;0.3973374;1.5000000;0.0000000
2.7700554;-0.9498743;-8.5654458;-3.0585704;0.4564120;1.5000000;0.0000000
2.9679166;-0.9242520;-8.7607157;-2.9610953;0.5313971;1.5000000;0.0000000
3.1657777;-0.8780943;-8.9539520;-2.8518528;0.5703783;1.5000000;0.0000000
3.3636388;-0.8106380;-9.1400100;-2.7341983;0.6160265;1.5000000;0.0000000
3.5614999;-0.7216727;-9.3153015;-2.6078194;0.6729098;1.5000000;0.0000000
3.7593610;-0.6089735;-9.4794759;-2.4714860;0.6968484;1.5000000;0.0000000
3.9572221;-0.4754483;-9.6256277;-2.3304351;0.7177765;1.5000000;0.0000000
4.1550832;-0.3237713;-9.7504628;-2.1877470;0.7326921;1.5000000;0.0000000
4.3529443;-0.1544014;-9.8533313;-2.0472078;0.6805372;1.5000000;0.0000000
4.5508054;0.0269202;-9.9323066;-1.9176944;0.6225623;1.5000000;0.0000000
4.7486665;0.2156263;-9.9882550;-1.8016785;0.5785750;1.5000000;0.0000000
4.9465276;0.4097164;-10.0224839;-1.6896676;0.5635491;1.5000000;0.0000000
