# x_m,y_m,w_tr_right_m,w_tr_left_m
6.3000,-0.2000,0.7018,0.7018
6.3500,-0.1500,0.7500,0.7500
6.3500,-0.1000,0.7500,0.7500
6.3500,-0.0500,0.7500,0.7500
6.3500,0.0000,0.7500,0.7500
6.3500,0.0500,0.7500,0.7500
6.3500,0.1000,0.7500,0.7500
6.3500,0.1500,0.7500,0.7500
6.3500,0.2000,0.7500,0.7500
6.3500,0.2500,0.7500,0.7500
6.3500,0.3000,0.7500,0.7500
6.3500,0.3500,0.7500,0.7500
6.3500,0.4000,0.7500,0.7500
6.3500,0.4500,0.7500,0.7500
6.3500,0.5000,0.7500,0.7500
6.3500,0.5500,0.7517,0.7517
6.3500,0.6000,0.7566,0.7566
6.3500,0.6500,0.7649,0.7649
6.3500,0.7000,0.7762,0.7762
6.3500,0.7500,0.7762,0.7762
6.3500,0.8000,0.7649,0.7649
6.3500,0.8500,0.7566,0.7566
6.3000,0.9000,0.7906,0.7906
6.3000,0.9500,0.8000,0.8000
6.3000,1.0000,0.8000,0.8000
6.3000,1.0500,0.8000,0.8000
6.3000,1.1000,0.8000,0.8000
6.2500,1.1500,0.8500,0.8500
6.2500,1.2000,0.8500,0.8500
6.2500,1.2500,0.8500,0.8500
6.2500,1.3000,0.8276,0.8276
6.2000,1.3500,0.8544,0.8544
6.2000,1.4000,0.8382,0.8382
6.1500,1.4500,0.8732,0.8732
6.1000,1.5000,0.9014,0.9014
6.1000,1.5500,0.8860,0.8860
6.0500,1.6000,0.9220,0.9220
6.0000,1.6500,0.9618,0.9618
6.0000,1.7000,0.9552,0.9552
5.9500,1.7500,0.9849,0.9849
5.9000,1.8000,1.0062,1.0062
5.8500,1.8500,1.0296,1.0296
5.8000,1.9000,1.0404,1.0404
5.7500,1.9500,1.0548,1.0548
5.7000,1.9500,1.0308,1.0308
5.6500,2.0000,1.0404,1.0404
5.6000,2.0500,1.0548,1.0548
5.5500,2.1000,1.0700,1.0700
5.5000,2.1000,1.0404,1.0404
5.4500,2.1500,1.0548,1.0548
5.4000,2.2000,1.0735,1.0735
5.3500,2.2000,1.0512,1.0512
5.3000,2.2500,1.0770,1.0770
5.2500,2.2500,1.0595,1.0595
5.2000,2.3000,1.0920,1.0920
5.1500,2.3000,1.0770,1.0770
5.1000,2.3500,1.1068,1.1068
5.0500,2.3500,1.0920,1.0920
5.0000,2.4000,1.1236,1.1236
4.9500,2.4000,1.1068,1.1068
4.9000,2.4500,1.1402,1.1402
4.8500,2.5000,1.1705,1.1705
4.8000,2.5000,1.1543,1.1543
4.7500,2.5000,1.1402,1.1402
4.7000,2.5500,1.1630,1.1630
4.6500,2.5500,1.1424,1.1424
4.6000,2.5500,1.1236,1.1236
4.5500,2.5500,1.1068,1.1068
4.5000,2.5500,1.0920,1.0920
4.4500,2.6000,1.1281,1.1281
4.4000,2.6000,1.1180,1.1180
4.3500,2.6000,1.1068,1.1068
4.3000,2.6000,1.0920,1.0920
4.2500,2.6000,1.0794,1.0794
4.2000,2.6000,1.0689,1.0689
4.1500,2.6000,1.0607,1.0607
4.1000,2.6500,1.1000,1.1000
4.0500,2.6500,1.1000,1.1000
4.0000,2.6500,1.1000,1.1000
3.9500,2.6500,1.1000,1.1000
3.9000,2.6500,1.1000,1.1000
3.8500,2.6500,1.1000,1.1000
3.8000,2.6500,1.0920,1.0920
3.7500,2.6500,1.0794,1.0794
3.7000,2.6500,1.0689,1.0689
3.6500,2.6500,1.0607,1.0607
3.6000,2.6500,1.0548,1.0548
3.5500,2.6500,1.0512,1.0512
3.5000,2.6500,1.0500,1.0500
3.4500,2.6500,1.0500,1.0500
3.4000,2.6500,1.0500,1.0500
3.3500,2.6500,1.0500,1.0500
3.3000,2.6500,1.0500,1.0500
3.2500,2.6000,1.0012,1.0012
3.2000,2.6000,1.0050,1.0050
3.1500,2.6000,1.0112,1.0112
3.1000,2.6000,1.0198,1.0198
3.0500,2.6000,1.0308,1.0308
3.0000,2.6000,1.0440,1.0440
2.9500,2.6000,1.0500,1.0500
2.9000,2.6000,1.0512,1.0512
2.8500,2.6000,1.0548,1.0548
2.8000,2.6000,1.0607,1.0607
2.7500,2.6000,1.0689,1.0689
2.7000,2.6000,1.0794,1.0794
2.6500,2.6000,1.0920,1.0920
2.6000,2.6000,1.0920,1.0920
2.5500,2.5500,1.0689,1.0689
2.5000,2.5500,1.0794,1.0794
2.4500,2.5500,1.0920,1.0920
2.4000,2.5500,1.1045,1.1045
2.3500,2.5000,1.0770,1.0770
2.3000,2.5000,1.0920,1.0920
2.2500,2.4500,1.0595,1.0595
2.2000,2.4500,1.0770,1.0770
2.1500,2.4500,1.0920,1.0920
2.1000,2.4500,1.1068,1.1068
2.0500,2.4000,1.0770,1.0770
2.0000,2.4000,1.0920,1.0920
1.9500,2.4000,1.1068,1.1068
1.9000,2.3500,1.0689,1.0689
1.8500,2.3500,1.0794,1.0794
1.8000,2.3500,1.0920,1.0920
1.7500,2.3000,1.0595,1.0595
1.7000,2.3000,1.0770,1.0770
1.6500,2.2500,1.0440,1.0440
1.6000,2.2500,1.0595,1.0595
1.5500,2.2000,1.0308,1.0308
1.5000,2.2000,1.0512,1.0512
1.4500,2.1500,1.0296,1.0296
1.4000,2.1500,1.0512,1.0512
1.3500,2.1500,1.0735,1.0735
1.3000,2.1000,1.0548,1.0548
1.2500,2.1000,1.0817,1.0817
1.2000,2.0500,1.0700,1.0700
1.1500,2.0500,1.0817,1.0817
1.1000,2.0000,1.0735,1.0735
1.0500,1.9500,1.0512,1.0512
1.0000,1.9000,1.0296,1.0296
0.9500,1.9000,1.0548,1.0548
0.9000,1.8500,1.0404,1.0404
0.8500,1.8500,1.0404,1.0404
0.8000,1.8000,1.0548,1.0548
0.7500,1.7500,1.0404,1.0404
