# x_m,y_m,w_tr_right_m,w_tr_left_m
1.1800,-0.0000,0.9487,0.9487
1.2300,-0.0000,0.9500,0.9500
1.2800,-0.0000,0.9500,0.9500
1.3300,-0.0000,0.9500,0.9500
1.3800,-0.0000,0.9500,0.9500
1.4300,-0.0000,0.9500,0.9500
1.4800,-0.0000,0.9500,0.9500
1.5300,-0.0000,0.9500,0.9500
1.5800,-0.0500,0.9000,0.9000
1.6300,-0.0500,0.9000,0.9000
1.6800,-0.0500,0.9014,0.9014
1.7300,-0.0500,0.9055,0.9055
1.7800,-0.0500,0.9124,0.9124
1.8300,-0.0500,0.9220,0.9220
1.8800,-0.0500,0.9341,0.9341
1.9300,-0.0500,0.9487,0.9487
1.9800,-0.0500,0.9500,0.9500
2.0300,-0.0500,0.9500,0.9500
2.0800,-0.0500,0.9487,0.9487
2.1300,-0.0500,0.9341,0.9341
2.1800,-0.0500,0.9220,0.9220
2.2300,-0.0500,0.9124,0.9124
2.2800,-0.0500,0.9055,0.9055
2.3300,-0.0000,0.8515,0.8515
2.3800,-0.0000,0.8500,0.8500
2.4300,-0.0000,0.8500,0.8500
2.4800,-0.0000,0.8500,0.8500
2.5300,-0.0000,0.8500,0.8500
2.5800,-0.0000,0.8500,0.8500
2.6300,-0.0000,0.8500,0.8500
2.6800,-0.0000,0.8500,0.8500
2.7300,0.0500,0.8016,0.8016
2.7800,0.0500,0.8062,0.8062
2.8300,0.0500,0.8139,0.8139
2.8800,0.0500,0.8246,0.8246
2.9300,0.0500,0.8382,0.8382
2.9800,0.0500,0.8544,0.8544
3.0300,0.1000,0.8246,0.8246
3.0800,0.1000,0.8382,0.8382
3.1300,0.1000,0.8544,0.8544
3.1800,0.1500,0.8276,0.8276
3.2300,0.1500,0.8500,0.8500
3.2800,0.1500,0.8746,0.8746
3.3300,0.2000,0.8602,0.8602
3.3800,0.2500,0.8500,0.8500
3.4300,0.3000,0.8322,0.8322
3.4800,0.3500,0.8201,0.8201
3.5300,0.4000,0.8139,0.8139
3.5800,0.4500,0.8062,0.8062
3.6300,0.5000,0.7826,0.7826
3.6300,0.5500,0.7810,0.7810
3.6800,0.6000,0.7826,0.7826
3.6800,0.6500,0.7632,0.7632
3.7300,0.7000,0.7826,0.7826
3.7300,0.7500,0.7616,0.7616
3.7800,0.8000,0.7826,0.7826
3.7800,0.8500,0.7616,0.7616
3.7800,0.9000,0.7382,0.7382
3.8300,0.9500,0.7616,0.7616
3.8300,1.0000,0.7382,0.7382
3.8300,1.0500,0.7159,0.7159
3.8300,1.1000,0.6964,0.6964
3.8800,1.1500,0.7280,0.7280
3.8800,1.2000,0.7159,0.7159
3.8800,1.2500,0.7071,0.7071
3.8800,1.3000,0.7018,0.7018
3.9300,1.3500,0.7500,0.7500
3.9300,1.4000,0.7500,0.7500
3.9300,1.4500,0.7500,0.7500
3.9300,1.5000,0.7500,0.7500
3.9300,1.5500,0.7500,0.7500
3.9300,1.6000,0.7500,0.7500
3.9300,1.6500,0.7500,0.7500
3.9300,1.7000,0.7500,0.7500
3.9300,1.7500,0.7500,0.7500
3.9300,1.8000,0.7500,0.7500
3.9300,1.8500,0.7500,0.7500
3.9300,1.9000,0.7500,0.7500
3.9300,1.9500,0.7500,0.7500
3.9300,2.0000,0.7500,0.7500
3.9300,2.0500,0.7517,0.7517
3.9300,2.1000,0.7566,0.7566
3.9300,2.1500,0.7649,0.7649
3.9300,2.2000,0.7762,0.7762
3.9300,2.2500,0.7762,0.7762
3.9300,2.3000,0.7649,0.7649
3.9300,2.3500,0.7566,0.7566
3.8800,2.4000,0.7906,0.7906
3.8800,2.4500,0.8000,0.8000
3.8800,2.5000,0.8000,0.8000
3.8800,2.5500,0.8000,0.8000
3.8800,2.6000,0.8000,0.8000
3.8300,2.6500,0.8500,0.8500
3.8300,2.7000,0.8500,0.8500
3.8300,2.7500,0.8500,0.8500
3.8300,2.8000,0.8276,0.8276
3.7800,2.8500,0.8544,0.8544
3.7800,2.9000,0.8382,0.8382
3.7300,2.9500,0.8732,0.8732
3.6800,3.0000,0.9014,0.9014
3.6800,3.0500,0.8860,0.8860
3.6300,3.1000,0.9220,0.9220
3.5800,3.1500,0.9618,0.9618
3.5800,3.2000,0.9552,0.9552
3.5300,3.2500,0.9849,0.9849
3.4800,3.3000,1.0062,1.0062
3.4300,3.3500,1.0296,1.0296
3.3800,3.4000,1.0404,1.0404
3.3300,3.4500,1.0548,1.0548
3.2800,3.4500,1.0308,1.0308
3.2300,3.5000,1.0404,1.0404
3.1800,3.5500,1.0548,1.0548
3.1300,3.6000,1.0700,1.0700
3.0800,3.6000,1.0404,1.0404
3.0300,3.6500,1.0548,1.0548
2.9800,3.7000,1.0735,1.0735
2.9300,3.7000,1.0512,1.0512
2.8800,3.7500,1.0770,1.0770
2.8300,3.7500,1.0595,1.0595
2.7800,3.8000,1.0920,1.0920
2.7300,3.8000,1.0770,1.0770
2.6800,3.8500,1.1068,1.1068
2.6300,3.8500,1.0920,1.0920
2.5800,3.9000,1.1236,1.1236
2.5300,3.9000,1.1068,1.1068
2.4800,3.9500,1.1402,1.1402
2.4300,4.0000,1.1705,1.1705
2.3800,4.0000,1.1543,1.1543
2.3300,4.0000,1.1402,1.1402
2.2800,4.0500,1.1630,1.1630
2.2300,4.0500,1.1424,1.1424
2.1800,4.0500,1.1236,1.1236
2.1300,4.0500,1.1068,1.1068
2.0800,4.0500,1.0920,1.0920
2.0300,4.1000,1.1281,1.1281
1.9800,4.1000,1.1180,1.1180
1.9300,4.1000,1.1068,1.1068
1.8800,4.1000,1.0920,1.0920
1.8300,4.1000,1.0794,1.0794
1.7800,4.1000,1.0689,1.0689
1.7300,4.1000,1.0607,1.0607
1.6800,4.1500,1.1000,1.1000
1.6300,4.1500,1.1000,1.1000
1.5800,4.1500,1.1000,1.1000
1.5300,4.1500,1.1000,1.1000
1.4800,4.1500,1.1000,1.1000
1.4300,4.1500,1.1000,1.1000
1.3800,4.1500,1.0920,1.0920
1.3300,4.1500,1.0794,1.0794
1.2800,4.1500,1.0689,1.0689
1.2300,4.1500,1.0607,1.0607
1.1800,4.1500,1.0548,1.0548
1.1300,4.1500,1.0512,1.0512
1.0800,4.1500,1.0500,1.0500
1.0300,4.1500,1.0500,1.0500
0.9800,4.1500,1.0500,1.0500
0.9300,4.1500,1.0500,1.0500
0.8800,4.1500,1.0500,1.0500
0.8300,4.1000,1.0012,1.0012
0.7800,4.1000,1.0050,1.0050
0.7300,4.1000,1.0112,1.0112
0.6800,4.1000,1.0198,1.0198
0.6300,4.1000,1.0308,1.0308
