# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.17,4.2,0.5,0.5
-0.42838282539675715,4.202622792487941,0.5,0.5
-0.6721910523350905,4.175678164488766,0.5,0.5
-0.9014246808149999,4.119166116002474,0.5,0.5
-1.1160837108364854,4.033086647029066,0.5,0.5
-1.3161681423995473,3.9174397575685425,0.5,0.5
-1.5016779755041856,3.7722254476209027,0.5,0.5
-1.6726132101503997,3.597443717186146,0.5,0.5
-1.8289738463381897,3.3930945662642733,0.5,0.5
-1.9707125747218797,3.16085348709682,0.5,0.5
-2.0968913853118667,2.9339407332628546,0.5,0.5
-2.207145236860642,2.7252844856384164,0.5,0.5
-2.3014741293682057,2.5348847442235076,0.5,0.5
-2.3798780628345577,2.3627415090181256,0.5,0.5
-2.442357037259698,2.2088547800222713,0.5,0.5
-2.4885516996813144,2.06825652768236,0.5,0.5
-2.515705413597405,1.902836445289555,0.5,0.5
-2.5232416171439938,1.7046236054267707,0.5,0.5
-2.5111603103210802,1.473618008094007,0.5,0.5
-2.4794614931286647,1.2098196532912637,0.5,0.5
-2.4281451655667476,0.9132285410185412,0.5,0.5
-2.357195350713183,0.5994000179260397,0.5,0.5
-2.2665503870679893,0.32836855113085783,0.5,0.5
-2.156204151955788,0.10609525987082788,0.5,0.5
-2.0261566453765774,-0.06741985585405043,0.5,0.5
-1.876407867330359,-0.1921767960437767,0.5,0.5
-1.7069578178171307,-0.26817556069835174,0.5,0.5
-1.5228482736821602,-0.29971907882915627,0.5,0.5
-1.334688405955131,-0.2958617991377806,0.5,0.5
-1.1428170994994402,-0.2568929445618897,0.5,0.5
-0.9472343543150881,-0.18281251510148325,0.5,0.5
-0.7479401704020746,-0.07362051075656129,0.5,0.5
-0.5449345477604014,0.07068306847287537,0.5,0.5
-0.3430676804743326,0.2169197000703931,0.5,0.5
-0.14778211874677966,0.32785875546383203,0.5,0.5
0.04091768361685287,0.40346976769036647,0.5,0.5
0.22303172661656406,0.4437527367499961,0.5,0.5
0.3985600102523549,0.44870766264272144,0.5,0.5
0.5675782777372856,0.4185883222941861,0.5,0.5
0.7344675165147078,0.36807317308362175,0.5,0.5
0.9017757282719369,0.30569927078968334,0.5,0.5
1.0695029130089737,0.2314666154123705,0.5,0.5
1.2376490707258192,0.14537520695168268,0.5,0.5
1.4062142014224723,0.04742504540762038,0.5,0.5
1.5753894844973482,-0.06051149308312751,0.5,0.5
1.7478008716873648,-0.15271631646125539,0.5,0.5
1.9242841803624553,-0.22100358194735725,0.5,0.5
2.1048394105226196,-0.2653732895414328,0.5,0.5
2.2894665621678567,-0.2858254392434818,0.5,0.5
2.4781656352981676,-0.2823600310535046,0.5,0.5
2.667321326991636,-0.25673051175407563,0.5,0.5
2.835241819716773,-0.2194575620406409,0.5,0.5
2.9783118105516593,-0.17229462869577572,0.5,0.5
3.096531299496296,-0.11524171171947972,0.5,0.5
3.1899002865506842,-0.04829881111175219,0.5,0.5
3.258418771714823,0.02853407312740555,0.5,0.5
3.3085722707001204,0.11283515530810254,0.5,0.5
3.360736827197239,0.19699572500198387,0.5,0.5
3.4163958956505645,0.28046183879037867,0.5,0.5
3.475549476060099,0.36323349667328775,0.5,0.5
3.5381975684258395,0.4453106986507095,0.5,0.5
3.6043401727477873,0.5266934447226447,0.5,0.5
3.669828381169398,0.6098428684744773,0.5,0.5
3.7275286374949914,0.6989905979257826,0.5,0.5
3.7773176091485716,0.7942097940035937,0.5,0.5
3.8191952961301383,0.895500456707911,0.5,0.5
3.8531616984396924,1.0028625860387346,0.5,0.5
3.879218851380627,1.1162985059791188,0.5,0.5
3.8998538957008795,1.2386481238206097,0.5,0.5
3.9172832767969337,1.3724422571086214,0.5,0.5
3.9315069946687893,1.5176809058431564,0.5,0.5
3.9425250493164468,1.6743640700242104,0.5,0.5
3.950337440739906,1.8424917496517854,0.5,0.5
3.954837496082571,2.021737247275925,0.5,0.5
3.9526857018338792,2.2018729325245094,0.5,0.5
3.9422950271273374,2.378038347417569,0.5,0.5
3.923665471962946,2.550233491955102,0.5,0.5
3.896797036340704,2.718458366137108,0.5,0.5
3.8616897202606113,2.8827129699635896,0.5,0.5
3.816758404790373,3.042467931942013,0.5,0.5
3.7460393477834253,3.1923919486387287,0.5,0.5
3.6453962329726517,3.331103642372043,0.5,0.5
3.514829060358052,3.458603013141958,0.5,0.5
3.3543378299396243,3.574890060948473,0.5,0.5
3.1639225417173718,3.6799647857915856,0.5,0.5
2.948110036991575,3.773810562828754,0.5,0.5
2.7285438838627423,3.8563479059706958,0.5,0.5
2.508045520814434,3.927566453473441,0.5,0.5
2.2866149478466484,3.9874662053369914,0.5,0.5
2.064252164959385,4.036047161561346,0.5,0.5
1.8409571721526432,4.073309322146503,0.5,0.5
1.6170179729853313,4.101383117634922,0.5,0.5
1.3931746214024265,4.125742902348485,0.5,0.5
1.1694644426651615,4.146664780085497,0.5,0.5
0.9458874367735337,4.164148750845959,0.5,0.5
0.7224436037275503,4.178194814629869,0.5,0.5
0.499132943527202,4.188802971437229,0.5,0.5
0.27595545617249345,4.195973221268037,0.5,0.5
0.05291114166342917,4.1997055641222945,0.5,0.5
-0.17,4.2,0.5,0.5
