Speed,accy,accx,yaw_rate,steering_angle,pose_x,pose_y,time
0.0,-0.0205078125,-0.0146484375,1.5869140625,,1.8733659982681277,4.077701091766357,0.0
0.0,-0.01683470773964717,-0.009976779468941507,1.5522732148676885,0.0,1.8733382340764784,4.077677282584634,0.05
0.0,-0.021004739519689238,-0.01268320842243507,1.0999296779533854,0.0,1.8733219486317654,4.077734614162048,0.1
0.0,-0.013662835088112307,-0.011750389691606921,1.4962088198644712,0.0,1.8732877380251491,4.077744530779735,0.15000000000000002
0.0,-0.014737237922865742,-0.01318359375,1.7644695048208912,0.0,1.8733256779132768,4.077664409056822,0.2
0.0,-0.013448376238187997,-0.012240058231100796,1.4638116568406,0.0,1.8733472519018928,4.077714009217434,0.25
0.0,-0.020016055363373305,-0.014142776816866529,1.5877830341566737,0.0,1.8733403762365346,4.077665861799611,0.30000000000000004
0.0,-0.01706714314858968,-0.009300044351410321,1.5878599208920967,0.0,1.8733340768587023,4.077653973443168,0.35000000000000003
0.0,-0.01947027543372638,-0.014984282334315948,1.5792922417157973,0.0,1.8733482886191373,4.077661629859563,0.4
0.0,-0.0150365908167558,-0.01402615635156862,1.7382503539594476,0.0,1.8733695755140292,4.077707607025549,0.45
0.0,-0.019067094373099527,-0.014967839388303306,1.5929454682748818,0.0,1.8732961216155968,4.077751007949655,0.5
0.0,-0.01592218349042457,-0.011442640211698274,1.4223825619015356,0.0,1.8733922331345474,4.077763797822384,0.55
0.0,-0.01953655090818171,-0.015123466479545721,1.524884985965929,0.0,1.873306181389573,4.077683924598441,0.6000000000000001
0.0,-0.016835853540882125,-0.012793808341178764,1.4013461977205308,0.0,1.8732439799693632,4.07768536738635,0.65
0.0,-0.01845069543064793,-0.014356778229859465,1.5193794019154956,0.0,1.8733682009780237,4.077715390439985,0.7000000000000001
0.0,-0.01645037382572647,-0.011907119454564116,1.4412975681794853,0.0,1.8733525555176198,4.077714712523589,0.75
0.0,-0.01660228255153157,-0.013673315103063138,1.3429534503828922,0.0,1.8733470226211273,4.077752880007297,0.8
0.0,-0.018041122103012966,-0.012508061205720828,1.4977317169050346,0.0,1.8733685205354347,4.077704496063785,0.8500000000000001
0.0,-0.01812253328952625,-0.01366385685149625,1.5238743691240626,0.0,1.8733178274980258,4.077760204641256,0.9
0.0,-0.01780796693172713,-0.01293087390903628,1.4346836392068216,0.0,1.8733579783170513,4.077673263754852,0.9500000000000001
0.0,-0.0181547594029982,-0.014621931554100541,1.5247744918375226,0.0,1.8733127728237686,4.0776725102936044,1.0
0.0,-0.014930273257722407,-0.011859667878861203,1.4824584848576505,0.0,1.8733637877322433,4.077694931545216,1.05
0.0,-0.01900819510268563,-0.012706903715771456,1.585465160528568,0.0,1.8733217260779298,4.077680296014192,1.1
0.0,-0.014858508719767058,-0.01388951719870771,1.4047549661175818,0.0,1.8733038852029136,4.077757848458232,1.1500000000000001
0.0,-0.019043713964102198,-0.012207900666452564,1.5869140625,0.0,1.8733686462066144,4.077730156056302,1.2000000000000002
0.0,-0.015069165758987299,-0.011499941746629763,1.4690658119382938,0.0,1.8733409648586412,4.07768797376777,1.25
0.0,-0.02147860959789613,-0.013149001337376787,1.5840313614480657,0.0,1.8733279537817005,4.077705643307571,1.3
0.0,-0.014266392112874554,-0.012646640231014548,1.4984033449365908,0.0,1.873336396001058,4.077690296029055,1.35
0.0,-0.019590949059726085,-0.013193543593287681,1.64670548833904,0.0,1.8732563576856323,4.077715498076508,1.4000000000000001
0.0,-0.01587531874315097,-0.012231743722603878,1.489955474742902,0.0,1.8733962756146454,4.077722217620634,1.4500000000000002
0.0,-0.018596157609282408,-0.014619408423502315,1.3432918138660301,0.0,1.8733273457994135,4.077710091932686,1.5
0.0,-0.014611334026241297,-0.013708978473758703,1.3127196527969838,0.0,1.8733499940966805,4.0777292877319855,1.55
0.0,-0.020977745833629408,-0.0165611970839847,1.4065607812055887,0.0,1.8733452432344404,4.077680795253128,1.6
0.04402404654479408,-0.0185546875,-0.013204223407076023,1.6778221200913743,0.0,1.8733462785049348,4.0776863367550265,1.6500000000000001
0.0,-0.01521898534433358,-0.01212476465566642,1.7104534213273854,0.0,1.873350378469436,4.077695587159101,1.7000000000000002
0.0,-0.014873832085373554,-0.012680315668298843,1.678935447865661,0.0,1.8733695236206798,4.07770033490375,1.75
-0.989197142150922,-0.01711106151042096,-0.01169753223957904,1.46616986002631,0.0015990358709688614,1.8733569383621216,4.077732463667658,1.8
0.0,-0.01708984375,-0.012879907393085668,1.5489532678857085,0.005923843548729381,1.8733248897412742,4.077670541669628,1.85
0.0,-0.018615061355210186,-0.013206233945703819,1.5850273795246816,0.0102486512264899,1.8733119037856298,4.077675688989267,1.9000000000000001
0.0,-0.016484839916808425,-0.01265154153130316,1.5591321699185525,0.01457345890425042,1.8733644184406677,4.077669841370973,1.9500000000000002
0.0,-0.01903061220690559,-0.012701490771547206,1.52587890625,0.017931315022212405,1.8733888958339022,4.077710627219214,2.0
269.3535463588484,-0.013517291072781669,0.01356912914667091,1.5819386904010184,0.017705258915787007,1.8733783291785981,4.077735598019968,2.0500000000000003
523.1816708766462,-0.03507398853993134,0.16277017144549194,2.2765452342448507,0.017948839856733758,1.8729730821577852,4.077760716671331,2.1
912.1680501023723,-0.13957522756822235,-0.1190080668862151,0.3454845836886581,0.01848073881781735,1.8683992537528853,4.078131172804088,2.15
1417.181675897803,-0.0345719606723959,0.4612357040527244,-0.6662968087939544,0.01824065512165296,1.8625165887141317,4.078475703398082,2.2
2240.559350073855,0.03547647702912478,0.44595451332421643,-0.46279880155972797,0.01746568275519338,1.8446962359136214,4.079727595163493,2.25
3385.938556602082,-0.10744061391910555,0.5678573999244998,1.098722903457238,0.019386590279907166,1.8139363913437136,4.082800756542723,2.3000000000000003
4640.132000619131,0.00712777379553034,0.5441811142999964,0.1394032055270139,0.02222707186460284,1.7697415515171249,4.087427353025657,2.35
6112.131211142944,-0.0618849915465194,0.5442295374641117,0.9347589419691169,0.024954302781679573,1.7124130871206769,4.093008124315292,2.4000000000000004
7390.940607477755,0.04626873706181939,0.5463822630932929,-0.8894092022920286,0.030122170912859025,1.6416414708568672,4.099620007001592,2.45
8587.71448126121,-0.05955515010047732,0.5078992751344873,-7.061125125596654,0.03576052206409248,1.556737084857753,4.108133902315234,2.5
9983.13298666282,-0.13568867430368975,0.7484342109556914,-0.6868206705204445,0.04687108502913023,1.4583689199591938,4.120207488506226,2.5500000000000003
11266.222484448457,0.16484862782565976,0.6197208775020487,3.6993401969574715,0.05737878126183905,1.3552176041669004,4.132334949966735,2.6
12659.043365044103,-0.03244523284526856,0.6511723049545246,2.4880939369171897,0.0716373881556461,1.2174889392216093,4.149563918944996,2.6500000000000004
13767.61969739237,-0.1232296526392932,0.582772412135851,18.12415248594651,0.08150047376932477,1.074861493845378,4.165488023720421,2.7
14350.326571790158,0.1677088156294627,0.5772771234045877,16.313492251651198,0.09760886930535721,0.9197436121564853,4.182066117894963,2.75
14686.141909363983,0.2464757708436854,0.3458738426439364,29.492963237240378,0.10734701218614343,0.7533627056764053,4.195067451982343,2.8000000000000003
14907.422329983368,0.13979396362970514,0.15280557268267142,45.66537869831141,0.1134791414091109,0.5806423075704301,4.2043433158339365,2.85
15192.909495220121,0.3557714819843964,0.144008481869647,51.87678817319458,0.11084991247701544,0.40416408242148977,4.207801329998534,2.9000000000000004
15254.237700732137,0.3054814448660781,0.007308492905349295,57.74312025428644,0.10733673943987561,0.2243700257614261,4.204645678369718,2.95
15057.512558139535,0.07945439933325399,0.0048223281789498765,62.046322537002176,0.10134692813251801,0.04461973125341978,4.193314647555428,3.0
14783.365809415554,0.41242808798606584,-0.050912851318210425,62.948422492102026,0.09502284282709123,-0.12824451270725876,4.172937013669414,3.0500000000000003
14630.532216170031,0.31921183955591304,-0.196651453095599,61.44232323124539,0.09608671915885195,-0.30527569471895727,4.142915527497632,3.1
14993.843436849334,0.347710238531006,-0.0561418693802235,56.37598508928153,0.09231738381658168,-0.4728813981201867,4.102830329020729,3.1500000000000004
15184.693250552904,0.4989334940146235,-0.05135097135357415,56.40157438147338,0.09511056246536237,-0.6380648262096067,4.056060375188203,3.2
15095.022251077142,0.4175294490623975,0.11279551474217579,55.8897210812363,0.1005661008598268,-0.797611682117604,4.000720143101948,3.25
15124.774318219843,0.46335041080219364,0.1811829414737568,58.20223444446251,0.1147445940173788,-0.9596648811454671,3.93752296843379,3.3000000000000003
14974.896182906485,0.2675722612859489,-0.05607928705100135,56.71727669989214,0.13334985463849355,-1.119103656187174,3.8650172926753266,3.35
14953.84655075715,0.349278682070743,0.015260559027944855,60.665279957896,0.15493744655993252,-1.272694798570273,3.7870298726360567,3.4000000000000004
14606.887959261227,0.22705311917749682,-0.11641645997999239,64.93882414468709,0.18469073787401585,-1.4217784615785136,3.6988028828997273,3.45
14334.716106549551,0.598083798009714,-0.030216904829647288,85.68561311565419,0.20354176993283374,-1.5635848819848264,3.6052648620258676,3.5
14257.627825701245,0.5083683778488635,-0.17476968663074993,87.24670284529637,0.2338059993648614,-1.6970097469811687,3.5022393390829754,3.5500000000000003
