0.0000000;-0.6727873;4.2802550;1.8335774;0.2378236;2.3463879;-0.4532437
0.1981541;-0.8633493000000001;4.2239085;1.8840954;0.2707711;2.3077938;-0.4418073
0.3963083;-1.0496197999999999;4.1577826;1.9404468;0.2857621;2.2695418;-0.4405466
0.5944624;-1.2323288;4.0812481;1.9931863;0.2457556;2.2307460;-0.4807658
0.7926165;-1.4109723;3.9958479;2.0410524;0.2668519;2.1876235;-0.3976819
0.9907707;-1.5849492;3.9009865;2.1014230;0.3425159;2.1513000;-0.3961234
1.1889248;-1.7521223000000001;3.7950528;2.1686932;0.3200637;2.1144987;-0.4380042
1.3870789;-1.91259;3.6784919;2.2280292;0.2906294;2.0730461;-0.3850730
1.5852331;-2.0655278999999998;3.5525032;2.2948275;0.3845945;2.0359058;-0.3398761
1.7833872;-2.2084052;3.4153039;2.3787106;0.4263241;2.0025526;-0.3341987
1.9815413;-2.3393895;3.2667012;2.4577325;0.3715181;1.9692057;-0.3849450
2.1796955;-2.4590327;3.1084591;2.5326613;0.4210335;1.9300814;-0.1680625
2.3778496;-2.5647339999999996;2.9411754;2.6273011;0.5367624;1.9127492;-0.0753722
2.5760037;-2.6531108999999997;2.7637685;2.7290486;0.4742126;1.9049249;-0.3224919
2.7741579;-2.7243855999999997;2.5789573;2.8161105;0.4366419;1.8710780;-0.2014716
2.9723120;-2.778816;2.3883013;2.9150917;0.5635906;1.8496183;-0.1993710
3.1704661;-2.8117701;2.1932022;3.0337561;0.5734180;1.8281344;-0.1553095
3.3686203;-2.8226035;1.9955182;3.1362982;0.4633797;1.8112220;-0.3194837
3.5667744;-2.8144122;1.7971356;-3.0503809;0.5445321;1.7759254;-0.0627482
3.7649285;-2.7850192999999996;1.6017849;-2.9302197;0.6391730;1.7689102;-0.0627482
3.9630827;-2.732087;1.4107284;-2.8168880;0.5043821;1.7618671;0.2488587
4.1612368;-2.6600951999999998;1.2258913;-2.7238907;0.4930221;1.7896370;0.1673980
4.3593909;-2.5705134999999997;1.0496664;-2.6147814;0.6117814;1.8080768;-0.0655577
4.5575451;-2.4607229;0.8842850;-2.5005213;0.5072891;1.8008778;0.2192663
4.7556992;-2.3352529;0.7313051;-2.4120862;0.4278246;1.8248446;0.2841379
4.9538533;-2.1967509;0.5897529;-2.3195312;0.5049226;1.8554417;0.1782462
5.1520075;-2.0454346;0.4627095;-2.2211112;0.4515710;1.8743811;0.2339920
5.3501616;-1.8829639;0.3493270;-2.1425943;0.3569250;1.8989569;0.3103917
5.5483157;-1.7127729;0.2484418;-2.0678353;0.3976499;1.9310743;0.2607360
5.7464698;-1.5352279;0.1611113;-1.9890553;0.3689505;1.9576465;0.2767646
5.9446240;-1.3510793;0.0866499;-1.9236257;0.2910982;1.9854632;0.3304583
6.1427781;-1.1637608;0.0235997;-1.8676420;0.2787644;2.0181743;0.3299368
6.3409322;-0.9725584;-0.0292175;-1.8136162;0.2561263;2.0503132;0.3370603
6.5390864;-0.7791241;-0.0722952;-1.7678696;0.2062911;2.0826339;0.3601928
6.7372405;-0.5841046999999999;-0.1073670;-1.7305378;0.1758475;2.1166273;0.3697331
6.9353946;-0.3877017;-0.1356485;-1.6977898;0.1544486;2.1509625;0.3742167
7.1335488;-0.1909174;-0.1578638;-1.6693411;0.1330558;2.1851647;0.3783469
7.3317029;0.006620800000000038;-0.1748984;-1.6448903;0.1155240;2.2192086;0.3805812
7.5298570;0.20439140000000006;-0.1873830;-1.6231807;0.1036580;2.2529346;0.3806028
7.7280112;0.402433;-0.1957929;-1.6035468;0.0955266;2.2861650;0.3793592
7.9261653;0.6004514000000001;-0.2004480;-1.5852673;0.0894108;2.3188129;0.3063061
8.1243194;0.7986911999999999;-0.2014745;-1.5662487;0.1024790;2.3448422;-0.5812846
8.3224736;0.9967500999999999;-0.1984762;-1.5445975;0.1170483;2.2951944;-0.5717381
8.5206277;1.1947341;-0.1908785;-1.5197246;0.1339395;2.2452912;-0.5545117
8.7187818;1.3923997;-0.1779839;-1.4904366;0.1667456;2.1958085;-0.5325312
8.9169360;1.5896352999999999;-0.1585524;-1.4534388;0.2059197;2.1472141;-0.5213738
9.1150901;1.7858116999999998;-0.1312181;-1.4105701;0.2269965;2.0985480;-0.5019596
9.3132442;1.9807293;-0.0950450;-1.3629687;0.2615185;2.0506031;-0.4623346
9.5113984;2.1734014000000004;-0.0487758;-1.3052871;0.3212348;2.0054291;-0.4370767
9.7095525;2.362912;0.0096476;-1.2370144;0.3607513;1.9617668;-0.4164583
9.9077066;2.5473785;0.0813164;-1.1623129;0.3954793;1.9192402;-0.3679877
10.1058608;2.7261756000000004;0.1676028;-1.0780652;0.4547644;1.8808632;-0.3256223
10.3040149;2.8960552;0.2694046;-0.9820994;0.5031208;1.8462393;-0.3144265
10.5021690;3.0548838000000003;0.3874822;-0.8800951;0.5284238;1.8121782;-0.2562149
10.7003232;3.2008488;0.5219820;-0.7706409;0.5800585;1.7839422;-0.1845998
10.8984773;3.3298064000000003;0.6716757;-0.6497024;0.6237115;1.7633183;-0.0989623
